Google Scholar Profile URL,Photo URL,Name,Affiliation,Email Verfication,# Citations,Research Field 1,Research Field 2,Research Field 3,Research Field 4,Research Field 5,Credit,,,,,,,,
https://scholar.google.com/citations?hl=en&user=7JK9h1MAAAAJ,https://scholar.googleusercontent.com/citations?view_op=small_photo&user=7JK9h1MAAAAJ&citpid=3,Yehuda Lindell,"Cryptographer at Coinbase; Professor of Computer Science, Bar-Ilan University (on leave",Verified email at biu.ac.il,21065,Cryptography,Secure Multiparty Computation (MPC),,,,A,,,,,,,,
https://scholar.google.com/citations?hl=en&user=YAZHNDUAAAAJ,https://scholar.googleusercontent.com/citations?view_op=small_photo&user=YAZHNDUAAAAJ&citpid=5,Rosario Gennaro,"Professor of Computer Science, City College of New York",Verified email at cs.ccny.cuny.edu,20129,cryptography,network security,theoretical computer science,,,A,,,,,,,,
https://scholar.google.com/citations?hl=en&user=3yPEc4YAAAAJ,https://scholar.googleusercontent.com/citations?view_op=small_photo&user=3yPEc4YAAAAJ&citpid=2,Yevgeniy Dodis,"Professor, New York University",Verified email at cs.nyu.edu,19400,Cryptography,Computer Security,,,,A,,,,,,,,
https://scholar.google.com/citations?hl=en&user=muk0-U4AAAAJ,https://scholar.googleusercontent.com/citations?view_op=small_photo&user=muk0-U4AAAAJ&citpid=1,Wade Trappe,"Professor, Electrical and Computer Engineering, WINLAB, Rutgers University",Verified email at winlab.rutgers.edu,19349,Wireless networking,signal processing,security,cryptography,,A,,,,,,,,
https://scholar.google.com/citations?hl=en&user=PiZymREAAAAJ,https://scholar.googleusercontent.com/citations?view_op=small_photo&user=PiZymREAAAAJ&citpid=2,Chris Peikert,"Professor, Computer Science and Engineering, University of Michigan",Verified email at alum.mit.edu,18507,Cryptography,,,,,A,,,,,,,,
https://scholar.google.com/citations?hl=en&user=AyRNYLoAAAAJ,https://scholar.googleusercontent.com/citations?view_op=small_photo&user=AyRNYLoAAAAJ&citpid=2,Michael Waidner,"Professor of Computer Science, TU Darmstadt, and Director, Fraunhofer SIT",Verified email at sit.tu-darmstadt.de,17669,Security,Privacy,Cryptography,Dependability,,A,,,,,,,,
https://scholar.google.com/citations?hl=en&user=MGVrVSIAAAAJ,https://scholar.googleusercontent.com/citations?view_op=small_photo&user=MGVrVSIAAAAJ&citpid=4,Thomas Ristenpart,"Associate Professor of Computer Science, Cornell Tech",Verified email at cornell.edu,17389,Computer security,Cryptography,,,,A,,,,,,,,
https://scholar.google.com/citations?hl=en&user=byCWPiwAAAAJ,https://scholar.googleusercontent.com/citations?view_op=small_photo&user=byCWPiwAAAAJ&citpid=2,Marten van Dijk,"Group Lead Computer Security, CWI, Amsterdam -- Research Professor, ECE Department …",,17349,Security,Hardware Security,Cryptography,Applied Cryptography,Machine Learning,A,,,,,,,,
https://scholar.google.com/citations?hl=en&user=dqVjyRQAAAAJ,https://scholar.google.com/citations/images/avatar_scholar_56.png,Salil Vadhan,"Vicky Joseph Professor of Computer Science and Applied Mathematics, Harvard University",Verified email at g.harvard.edu,17053,theoretical computer science: computational …,cryptography,and data privacy,,,A,,,,,,,,
https://scholar.google.com/citations?hl=en&user=n0QrdEMAAAAJ,https://scholar.googleusercontent.com/citations?view_op=small_photo&user=n0QrdEMAAAAJ&citpid=2,Johan Håstad,"Professor i teoretisk datalogi, KTH",Verified email at kth.se,16185,complexity theory,efficient algorithms,cryptography,,,A,,,,,,,,
https://scholar.google.com/citations?hl=en&user=pOCh6eAAAAAJ,https://scholar.googleusercontent.com/citations?view_op=small_photo&user=pOCh6eAAAAAJ&citpid=2,Juan Garay,"Professor, Texas A&M University, Computer Science & Engineering",Verified email at TAMU.EDU,16170,Cryptography,Information Security,Cryptographic Protocols,Distributed Computing,,A,,,,,,,,
https://scholar.google.com/citations?hl=en&user=Wt7Y3-oAAAAJ,https://scholar.googleusercontent.com/citations?view_op=small_photo&user=Wt7Y3-oAAAAJ&citpid=3,Alfredo De Santis,"Professor of Computer Science, Università di Salerno",Verified email at unisa.it,16031,Information Security,Computer Security,Cryptography,Privacy,,A,,,,,,,,
https://scholar.google.com/citations?hl=en&user=DvZS9bMAAAAJ,https://scholar.google.com/citations/images/avatar_scholar_56.png,James Goding,"Emeritus Professor of Experimental Pathology, Monash University",Verified email at monash.edu,15486,Immunology,Genetics,Biochemistry,Cryptography,Shakespeare's Sonnets,A,,,,,,,,
https://scholar.google.com/citations?hl=en&user=NkuWcH0AAAAJ,https://scholar.googleusercontent.com/citations?view_op=small_photo&user=NkuWcH0AAAAJ&citpid=2,Kenny Paterson,"Professor of Computer Science, ETH Zurich",Verified email at inf.ethz.ch,15024,Cryptography,,,,,A,,,,,,,,
https://scholar.google.com/citations?hl=en&user=LSgGbWMAAAAJ,https://scholar.googleusercontent.com/citations?view_op=small_photo&user=LSgGbWMAAAAJ&citpid=2,Zhenfu Cao,"Professor of School of Computer Science and Software Engineering, East China Normal …",Verified email at sei.ecnu.edu.cn,14397,Number Theory,Cryptography,Trusted Computing,Trusted Network,Information Security,A,,,,,,,,
https://scholar.google.com/citations?hl=en&user=3KzRyVYAAAAJ,https://scholar.googleusercontent.com/citations?view_op=small_photo&user=3KzRyVYAAAAJ&citpid=2,Tanja Lange,"Professor Cryptology, Technische Universiteit Eindhoven, the Netherlands",Verified email at tue.nl,14381,Cryptology,cryptography,elliptic curves,coding theory,post-quantum cryptography,A,,,,,,,,
https://scholar.google.com/citations?hl=en&user=8rjreLIAAAAJ,https://scholar.googleusercontent.com/citations?view_op=small_photo&user=8rjreLIAAAAJ&citpid=1,Daniele Micciancio,"Professor of computer science, UCSD",Verified email at eng.ucsd.edu,14363,Cryptography,Computational Complexity,Algorithms,,,A,,,,,,,,
https://scholar.google.com/citations?hl=en&user=-3WhJecAAAAJ,https://scholar.googleusercontent.com/citations?view_op=small_photo&user=-3WhJecAAAAJ&citpid=4,Xiaofeng Chen,"Professor, Xidian University, China",Verified email at xidian.edu.cn,13780,Security,Cryptography,Cloud computing,,,A,,,,,,,,
https://scholar.google.com/citations?hl=en&user=wn1tJO8AAAAJ,https://scholar.googleusercontent.com/citations?view_op=small_photo&user=wn1tJO8AAAAJ&citpid=2,Claude Carlet,"Professor Emeritus, University of Paris 8; also member of the University of Bergen, Norway",Verified email at univ-paris8.fr,13714,Boolean functions,symmetric cryptography,error correcting codes,discrete mathematics,cryptography,A,,,,,,,,
https://scholar.google.com/citations?hl=en&user=bToAUHMAAAAJ,https://scholar.googleusercontent.com/citations?view_op=small_photo&user=bToAUHMAAAAJ&citpid=9,Ashok Kumar Das,"Associate Professor, Center for Security, Theory and Algorithmic Research, IIIT Hyderabad …",Verified email at iiit.ac.in,13047,Cryptography,System and Network Security,Blockchain,AI/ML Security,Security in Smart Grid /IoT/Cloud-Fog …,A,,,,,,,,
https://scholar.google.com/citations?hl=en&user=qgIV_-8AAAAJ,https://scholar.googleusercontent.com/citations?view_op=small_photo&user=qgIV_-8AAAAJ&citpid=14,Yi Mu,"Professor, City University of  Macau, Macao",Verified email at cityu.mo,12976,Cryptography,Information Security,Network Security,Quantum Informatics,,A,,,,,,,,
https://scholar.google.com/citations?hl=en&user=22dxhNQAAAAJ,https://scholar.googleusercontent.com/citations?view_op=small_photo&user=22dxhNQAAAAJ&citpid=2,Michael Ben-Or,"The Jean and Helena Alfassa Professor of Computer Science, The Hebrew University",Verified email at cs.huji.ac.il,12872,Quantum Computation,Distributed Computation,Fault Tolerance,Computational Complexity,Cryptography,A,,,,,,,,
https://scholar.google.com/citations?hl=en&user=woqUivYAAAAJ,https://scholar.google.com/citations/images/avatar_scholar_56.png,Anna Lysyanskaya,"Professor of Computer Science, Brown University",Verified email at cs.brown.edu,12165,Cryptography,Theoretical  Computer Science,Security,,,A,,,,,,,,
https://scholar.google.com/citations?hl=en&user=p3R6ND8AAAAJ,https://scholar.google.com/citations/images/avatar_scholar_56.png,Duncan S. Wong,"Associate Professor of Computer Science, City University of Hong Kong",Verified email at cityu.edu.hk,12161,Cryptography,Information Security,,,,A,,,,,,,,
https://scholar.google.com/citations?hl=en&user=H9zO5eYAAAAJ,https://scholar.googleusercontent.com/citations?view_op=small_photo&user=H9zO5eYAAAAJ&citpid=7,Cunsheng Ding,"Professor of Computer Science, HKUST",Verified email at cse.ust.hk,12122,Coding theory,cryptography,combinatorics,,,A,,,,,,,,
https://scholar.google.com/citations?hl=en&user=tP5rH0wAAAAJ,https://scholar.googleusercontent.com/citations?view_op=small_photo&user=tP5rH0wAAAAJ&citpid=3,Alex Biryukov,"Full Professor of Computer Science, University of Luxembourg",Verified email at uni.lu,12027,Cryptography,Cryptanalysis,Privacy,Cryptocurrencies,Blockchain,A,,,,,,,,
https://scholar.google.com/citations?hl=en&user=3IH9iokAAAAJ,https://scholar.googleusercontent.com/citations?view_op=small_photo&user=3IH9iokAAAAJ&citpid=2,Liqun Chen,"Professor, University of Surrey, UK",Verified email at surrey.ac.uk,11513,Cryptography,Information Security,Secure Systems,,,A,,,,,,,,
https://scholar.google.com/citations?hl=en&user=1KRXBIwAAAAJ,https://scholar.googleusercontent.com/citations?view_op=small_photo&user=1KRXBIwAAAAJ&citpid=2,Leonid Reyzin,"Professor of Computer Science, Boston University",Verified email at cs.bu.edu,10942,Cryptography,,,,,A,,,,,,,,
https://scholar.google.com/citations?hl=en&user=AeXfSUsAAAAJ,https://scholar.googleusercontent.com/citations?view_op=small_photo&user=AeXfSUsAAAAJ&citpid=2,Jean-Sebastien Coron,"Professor of Computer Science, University of Luxembourg",Verified email at uni.lu,10821,Cryptography,,,,,A,,,,,,,,
https://scholar.google.com/citations?hl=en&user=HLUdAeUAAAAJ,https://scholar.google.com/citations/images/avatar_scholar_56.png,Michele Mosca,"Professor, Institute for Quantum Computing, University of Waterloo",,10802,Quantum Information,Cryptography,,,,A,,,,,,,,
https://scholar.google.com/citations?hl=en&user=ub25b48AAAAJ,https://scholar.googleusercontent.com/citations?view_op=small_photo&user=ub25b48AAAAJ&citpid=2,Serge Vaudenay,Professor at EPFL,Verified email at epfl.ch,10270,Cryptography,,,,,A,,,,,,,,
https://scholar.google.com/citations?hl=en&user=pYTEVIEAAAAJ,https://scholar.google.com/citations/images/avatar_scholar_56.png,Frederik Vercauteren,Professor at Katholieke Universiteit Leuven,Verified email at esat.kuleuven.be,10264,Cryptography,Number Theory,Algebraic Geometry,,,A,,,,,,,,
https://scholar.google.com/citations?hl=en&user=8d8jP60AAAAJ,https://scholar.googleusercontent.com/citations?view_op=small_photo&user=8d8jP60AAAAJ&citpid=5,Eike Kiltz,"Professor of Computer Science, Ruhr-Universität Bochum",Verified email at rub.de,10236,Cryptography,information security,complexity theory,,,A,,,,,,,,
https://scholar.google.com/citations?hl=en&user=KufrHlgAAAAJ,https://scholar.google.com/citations/images/avatar_scholar_56.png,Refik Molva,Professor EURECOM,Verified email at eurecom.fr,9766,computer science,computer security,communications,networking,cryptography,A,,,,,,,,
https://scholar.google.com/citations?hl=en&user=ijH0-a8AAAAJ,https://scholar.googleusercontent.com/citations?view_op=small_photo&user=ijH0-a8AAAAJ&citpid=1,Florian Tramèr,"Assistant Professor of Computer Science, ETH Zurich",Verified email at inf.ethz.ch,9762,ML Security,Computer Security,Cryptography,Privacy,,A,,,,,,,,
https://scholar.google.com/citations?hl=en&user=ENIkgBkAAAAJ,https://scholar.googleusercontent.com/citations?view_op=small_photo&user=ENIkgBkAAAAJ&citpid=1,kwangjo kim,"Professor, Computer Science Department, KAIST",Verified email at kaist.ac.kr,9334,Information Security,Cryptography,,,,A,,,,,,,,
https://scholar.google.com/citations?hl=en&user=i2vwkRMAAAAJ,https://scholar.googleusercontent.com/citations?view_op=small_photo&user=i2vwkRMAAAAJ&citpid=2,Guang Gong,"Professor, Dept. ECE, University of Waterloo",Verified email at uwaterloo.ca,9191,Cryptography,security and sequences,,,,A,,,,,,,,
https://scholar.google.com/citations?hl=en&user=1k_rBAkAAAAJ,https://scholar.googleusercontent.com/citations?view_op=small_photo&user=1k_rBAkAAAAJ&citpid=1,Elisabeth Oswald,Professor in Cybersecurity at Alpen-Adria Universität Klagenfurt,Verified email at aau.at,9035,Cryptography,Side Channel Analysis,Side Channel Attacks,Embedded Security,,A,,,,,,,,
https://scholar.google.com/citations?hl=en&user=8mHLyRoAAAAJ,https://scholar.googleusercontent.com/citations?view_op=small_photo&user=8mHLyRoAAAAJ&citpid=1,Alexandra Boldyreva,"Professor, School of Cybersecurity and Privacy, Georgia Institute of Technology",Verified email at gatech.edu,8840,Cryptography,Information Security,,,,A,,,,,,,,
https://scholar.google.com/citations?hl=en&user=7xRkSZAAAAAJ,https://scholar.googleusercontent.com/citations?view_op=small_photo&user=7xRkSZAAAAAJ&citpid=6,Jian Weng,"Professor, Department of Computer Science, Jinan University",Verified email at jnu.edu.cn,8760,Cryptography,,,,,A,,,,,,,,
https://scholar.google.com/citations?hl=en&user=PoDj4lsAAAAJ,https://scholar.googleusercontent.com/citations?view_op=small_photo&user=PoDj4lsAAAAJ&citpid=3,Jesper Buus Nielsen,"Professor of Computer Science, Aarhus University",Verified email at cs.au.dk,8677,Cryptography,Distributed Systems,Blockchain,,,A,,,,,,,,
https://scholar.google.com/citations?hl=en&user=-y_A78EAAAAJ,https://scholar.google.com/citations/images/avatar_scholar_56.png,Kazuo Ohta,"Professor, The University of Electro-Communications",Verified email at uec.ac.jp,8491,Cryptography,,,,,A,,,,,,,,
https://scholar.google.com/citations?hl=en&user=XBj4HWoAAAAJ,https://scholar.googleusercontent.com/citations?view_op=small_photo&user=XBj4HWoAAAAJ&citpid=1,Shouhuai Xu,"Gallogly Chair Professor in Cybersecurity, University of Colorado Colorado Springs",Verified email at uccs.edu,8411,Cybersecurity Dynamics,Cybersecurity Metrics,Cybersecurity Data Analytics,Cryptography,Systems & Network Security,A,,,,,,,,
https://scholar.google.com/citations?hl=en&user=wW2eXngAAAAJ,https://scholar.googleusercontent.com/citations?view_op=small_photo&user=wW2eXngAAAAJ&citpid=2,Pierre-Alain Fouque,"Professor of Computer Science, Rennes University, IRISA, Institut Universitaire de France",Verified email at ens.fr,8408,cryptography,,,,,A,,,,,,,,
https://scholar.google.com/citations?hl=en&user=9OrDVa4AAAAJ,https://scholar.google.com/citations/images/avatar_scholar_56.png,Jeffrey E Hoffstein,"Professor of Mathematics, Brown University",Verified email at math.brown.edu,8223,Automorphic forms,cryptography,,,,A,,,,,,,,
https://scholar.google.com/citations?hl=en&user=c0yPSEYAAAAJ,https://scholar.google.com/citations/images/avatar_scholar_56.png,Tal Malkin,"Professor of Computer Science, Columbia University",Verified email at columbia.edu,8159,Cryptography,Complexity,Security,,,A,,,,,,,,
https://scholar.google.com/citations?hl=en&user=CO7nYfIAAAAJ,https://scholar.googleusercontent.com/citations?view_op=small_photo&user=CO7nYfIAAAAJ&citpid=5,Daniel Wichs,"Northeastern University, Associate Professor",Verified email at ccs.neu.edu,7898,Cryptography,Security,Computational Complexity,Information Theory,,A,,,,,,,,
https://scholar.google.com/citations?hl=en&user=8D_2sMwAAAAJ,https://scholar.googleusercontent.com/citations?view_op=small_photo&user=8D_2sMwAAAAJ&citpid=2,Carlo Blundo,"Professor of Computer Science, Università di Salerno",Verified email at unisa.it,7718,Cryptography,Security,Privacy,,,A,,,,,,,,
https://scholar.google.com/citations?hl=en&user=4e2pnKYAAAAJ,https://scholar.googleusercontent.com/citations?view_op=small_photo&user=4e2pnKYAAAAJ&citpid=2,Nicholas Hopper,"Professor of Computer Science & Engineering, University of Minnesota",Verified email at umn.edu,7619,Computer Security,Cryptography,Online Privacy,,,A,,,,,,,,
https://scholar.google.com/citations?hl=en&user=VYBH2BsAAAAJ,https://scholar.googleusercontent.com/citations?view_op=small_photo&user=VYBH2BsAAAAJ&citpid=3,Muthuramakrishnan Venkitasubramaniam,"Associate Professor of Computer Science, University of Rochester",Verified email at cs.rochester.edu,7507,Privacy,Security,Cryptography,Complexity Theory,,A,,,,,,,,
https://scholar.google.com/citations?hl=en&user=7n2EsRIAAAAJ,https://scholar.google.com/citations/images/avatar_scholar_56.png,Shalini Gupta,"Assistant Professor of Mathematics, Bahra University",,7265,Finite Field Applications,Rhotrices,Cryptography,,,A,,,,,,,,
https://scholar.google.com/citations?hl=en&user=CAWxkrQAAAAJ,https://scholar.googleusercontent.com/citations?view_op=small_photo&user=CAWxkrQAAAAJ&citpid=4,Chris Mitchell,"Professor of Computer Science, Royal Holloway, University of London",Verified email at rhul.ac.uk,7055,Information security,cryptography,combinatorics,,,A,,,,,,,,
https://scholar.google.com/citations?hl=en&user=DDLmxCsAAAAJ,https://scholar.googleusercontent.com/citations?view_op=small_photo&user=DDLmxCsAAAAJ&citpid=1,Berry Schoenmakers,"Associate Professor, TU Eindhoven",Verified email at tue.nl,6974,Cryptography,Cryptographic Protocols,,,,A,,,,,,,,
https://scholar.google.com/citations?hl=en&user=B67-NyQAAAAJ,https://scholar.googleusercontent.com/citations?view_op=small_photo&user=B67-NyQAAAAJ&citpid=2,Xuejia Lai,"Professor, Shanghai Jiao Tong University",Verified email at cs.sjtu.edu.cn,6844,Cryptography,Information Security,,,,A,,,,,,,,
https://scholar.google.com/citations?hl=en&user=3uT_2lcAAAAJ,https://scholar.googleusercontent.com/citations?view_op=small_photo&user=3uT_2lcAAAAJ&citpid=6,Cas Cremers,"Professor of Computer Science, CISPA Helmholtz Center for Information Security",Verified email at cispa.de,6601,Security,Computer Security,Information Security,Cryptography,Automated Verification,A,,,,,,,,
https://scholar.google.com/citations?hl=en&user=JUXrVDIAAAAJ,https://scholar.googleusercontent.com/citations?view_op=small_photo&user=JUXrVDIAAAAJ&citpid=5,Thomas Peyrin,"Associate Professor, Nanyang Technological University",Verified email at ntu.edu.sg,6470,Cryptography,Cryptanalysis,Information Security,,,A,,,,,,,,
https://scholar.google.com/citations?hl=en&user=qLuAbhMAAAAJ,https://scholar.google.com/citations/images/avatar_scholar_56.png,Steven Rudich,"Professor of Computer Science, Carnegie Mellon University",Verified email at cs.cmu.edu,6152,Computational Complexity Theory,Cryptography,,,,A,,,,,,,,
https://scholar.google.com/citations?hl=en&user=gfoYjCMAAAAJ,https://scholar.googleusercontent.com/citations?view_op=small_photo&user=gfoYjCMAAAAJ&citpid=4,Marc Fischlin,"Professor of Computer Science, Technische Universität Darmstadt, Germany",Verified email at tu-darmstadt.de,6000,Cryptography,Complexity Theory,,,,A,,,,,,,,
https://scholar.google.com/citations?hl=en&user=YwTdf6wAAAAJ,https://scholar.google.com/citations/images/avatar_scholar_56.png,Allison Lewko,"Assistant Professor, Columbia University",Verified email at cs.columbia.edu,5976,cryptography,harmonic analysis,distributed computing,combinatorics,,A,,,,,,,,
https://scholar.google.com/citations?hl=en&user=Q82CQ2YAAAAJ,https://scholar.googleusercontent.com/citations?view_op=small_photo&user=Q82CQ2YAAAAJ&citpid=2,Kee-Young Yoo,"Professor, Kyungpook National University",Verified email at knu.ac.kr,5845,Security & Privacy,Cryptography,Steganography,,,A,,,,,,,,
https://scholar.google.com/citations?hl=en&user=wR84XY1kACcC,https://scholar.googleusercontent.com/citations?view_op=small_photo&user=wR84XY1kACcC&citpid=12,Raphaël C.-W. Phan,Professor at Monash University,Verified email at monash.edu,5838,Security,Cryptography,AI,Adversarial Machine Learning,,A,,,,,,,,
https://scholar.google.com/citations?hl=en&user=uEjyGZUAAAAJ,https://scholar.googleusercontent.com/citations?view_op=small_photo&user=uEjyGZUAAAAJ&citpid=2,krzysztof pietrzak,"Professor, Cryptography, IST Austria",Verified email at ist.ac.at,5818,Cryptography,Complexity Theory,Security,,,A,,,,,,,,
https://scholar.google.com/citations?hl=en&user=1JX12vMAAAAJ,https://scholar.googleusercontent.com/citations?view_op=small_photo&user=1JX12vMAAAAJ&citpid=2,A. Michael Froomkin,"Professor of Law, University of Miami",Verified email at law.miami.edu,5649,AI/Robots,Privacy,Cryptography,Internet Law,US Administrative Law,A,,,,,,,,
https://scholar.google.com/citations?hl=en&user=hR-nl7UAAAAJ,https://scholar.googleusercontent.com/citations?view_op=small_photo&user=hR-nl7UAAAAJ&citpid=50,Ahmad S Almogren  احمد سعد المقرن,"Professor of Computer Science, King Saud University",Verified email at ksu.edu.sa,5643,Cybersecurity,Wireless Networks,Blockchain,Cryptography,mHealth,A,,,,,,,,
https://scholar.google.com/citations?hl=en&user=Gg7nd14AAAAJ,https://scholar.googleusercontent.com/citations?view_op=small_photo&user=Gg7nd14AAAAJ&citpid=2,Dario Catalano,"Professor of Computer Science, University of Catania",Verified email at dmi.unict.it,5600,Cryptography,,,,,A,,,,,,,,
https://scholar.google.com/citations?hl=en&user=w8guCjIAAAAJ,https://scholar.googleusercontent.com/citations?view_op=small_photo&user=w8guCjIAAAAJ&citpid=1,Mark Stamp,"Professor of Computer Science, San Jose State University",Verified email at sjsu.edu,5523,information security,cryptography,machine learning,,,A,,,,,,,,
https://scholar.google.com/citations?hl=en&user=ClOD3r4AAAAJ,https://scholar.google.com/citations/images/avatar_scholar_56.png,Philippe Gaborit,"Professor in computer science, university of Limoges, France",Verified email at unilim.fr,5406,Cryptography,Error-correcting codes,Security,Privacy,Watermarking,A,,,,,,,,
