Name,Phone,Address,Description,Website,Social Media
AIKO LIGHTING, 86-13267024672,"Building A, HCR Gaoke Ind. Area, Shiyan, Bao’an District Shilong Community Shiyan Town, Bao’an, Shenzhen 518108
China","AIKO Lighting has been focusing on high-power lighting for 11 years, especially in sports lighting, high mast lighting, street lighting, and floodlighting industry. We have supplied sports lighting to 4 UEFA stadiums, Olympic Stadium, and NFL sports facilities. We can provide you with a complete set of services, from engineering inquiry to complete shipment, and offering consulting service until the project installation is finished at the end user's site. We always keep tighten communication with our clients throughout the process. Welcome to contact us. We have branches all over the world. We have offices in the USA, UK, Ireland, Denmark, Poland, Greece, Indonesia. USA: Add.: 110 Dudley Ave B, Venice, CA 90291 Email: usa@aikoled.com Tel.: +1 213 793 8246 UK: Add.: 10A Broadway, Westminster, London, SW1H 0BE, UK Email: uk@aikoled.com Tel.: +44 203 936 8673",www.aikoled.com,"{'Facebook': '', 'Twitter': 'https://twitter.com/Daisy07716901', 'LinkedIn': 'https://www.linkedin.com/company/aiko-lighting-co-ltd/?viewAsMember=true'}"
ALANOD GMBH & CO. KG, 440-327-8184,"36696 Sugar Ridge Rd. North Ridgeville, Ohio 44039
United States of America","Our products MIRO® ,MIRO® SILVER and MIRO® WHITE changed the world of lighting. We offer a wide, standard product range of high-quality, anodized surfaces with a wide variety of properties. Ask about our reflective/diffuse surfaces for LED lighting.",https://alanod-westlake.com/,"{'Facebook': '', 'Twitter': '', 'LinkedIn': ''}"
ALDER OPTOMECHANICAL CORP., 886-3-439-3588 ext 536,"No. 171, Tianjing St. Pingzhen City, Taoyuan, TAO 32458
TW",Alder’s lighting product features over all : The illuminance fulfills the requirements Energy-efficient performance & Long lifespanRobust materials & Thermal management Widely applications & Flexible design Active OVP / OTP / SCP protection,www.alder.com.tw,"{'Facebook': '', 'Twitter': '', 'LinkedIn': ''}"
ALLIED SCIENTIFIC PRO, 8002534107,"815 Boul de la carriére Suite 203 Gatineau, QC J8Y6T4
Canada","Allied Scientific Pro (ASP) specializes in the manufacturing, distribution, and innovation of high quality and cost-effective photonics hardware for the scientific community from all around the globe. Founded in 2009, ASP is a fully Canadian-owned and operated company. ASP delivers innovative Artificial Intelligence-driven photonic products, develops, and manufactures advanced laser cleaning and testing systems, and distributes photonic components. ASP’s technical team features a multi-disciplinary staff specializing in engineering and science, photonics, mechanics, electronics, robotics, imaging, spectroscopy, artificial intelligence, and computer programming. The team thrives with new challenges and has developed technology solutions across a range of industrial sectors, including Automobile, Agriculture, Food Processing, Nuclear Industry, Defense, Medical, Spectroscopy and Spectrometer. Come meet the team and discover how ASP can serve your business. The top of the line 3 products, lighting passport the world's first smart handheld spectrometer, Spectral Light Meter SRI-2000 UV and the Sunlight pro grow LEDs with a range from UVA (380nm) to Far-Red (780nm) will be available at our booth during the show for demonstration and purchase. Our wide selection of integrating spheres are custom built following...",https://www.alliedscientificpro.com/lighting-passport,"{'Facebook': 'https://www.facebook.com/alliedscientific', 'Twitter': 'https://twitter.com/alliedscientifi', 'LinkedIn': 'https://www.linkedin.com/company/allied-scientific-pro?trk=public_post_share-update_actor-text'}"
"ALLSTAR LIGHTING SUPPLIES, INC.", (732) 882-1500,"33 Randolph Avenue Avenel, NJ 07001
USA","Since the beginning of LUXRITE™, we’ve had a reputation for innovation and quality. Throughout the years, LUXRITE™ has continued to show versatility, design, innovation and performance with over 50 unique, yet practical LED fixture lines ranging from indoor and outdoor rated, emergency battery backup, plenum rated, color and wattage selectable options with style and design to make it as sleek and durable as ever, as well as one of the top choices within the industry. Our goal has never been brighter, and we’ve continued to expand, grow our network and consolidate as one of the top LED brands in the country. We’d like to thank our loyal customers for giving us the opportunity to make LUXRITE™ an unimaginable success, it is you who makes us push to continue to innovate and overcome the obstacles that the industry continues to face. This year we keep growing to serve you better and we embarked in one of our largest, most sophisticated projects to date. We are fully committed to keep to our vision of bringing LUXRITE™ to new heights, and we can't...",www.allstarlighting.com,"{'Facebook': '', 'Twitter': '', 'LinkedIn': ''}"
ALMAG ALUMINUM INC, (905) 457-9000,"22 Finley Road Brampton, ON L6T 1A9
CA","For nearly 70 years, ALMAG has established a reputation as an industry leader of complex, thin-walled, tight tolerance, high visual aluminum extrusion products. With operations in Brampton ON and Florence AL, ALMAG delivers on providing excellent Customer service by producing quality extrusions with short lead times that give our Customers the advantage and the agility to succeed. From tight tolerances to tight timelines, innovative designs to inspired solutions, with ALMAG it’s Made possible.",www.almag.com,"{'Facebook': '', 'Twitter': '', 'LinkedIn': ''}"
"ALPHALITE, INC.", (888) 287-9228,"10715 Springdale Ave # 4 Santa Fe Springs, CA 90670
USA",,www.alphalite.com,"{'Facebook': '', 'Twitter': '', 'LinkedIn': ''}"
ALUZ LIGHTING, 714.535.7902,"1170 N Red Gum St Anaheim, CA 92806
USA","ALUZ has been a beautiful story in the making for more than 20 years. Originally founded in California in 2000 as California Accent Lighting Inc, the company has been on a mission to meet — and exceed — the always-evolving needs of lighting designers and architects. We pride ourselves upon our collaboration with designers to manufacture the lighting environments they envision to their exact specifications. We do not stop working until products are impeccably installed and customer satisfaction is achieved. Our long-standing track record speaks for itself. We look forward to continuing to grow our business together with designers who share our values: integrity, quality, and service.",http://www.aluz.lighting,"{'Facebook': 'https://www.facebook.com/Aluz.Lighting/', 'Twitter': 'https://www.twitter.com/aluzlighting', 'LinkedIn': 'https://www.linkedin.com/company/aluzlighting'}"
ALW USA, 5104892530,"1035 22nd Avenue Unit 1 Oakland, CA 94606
United States of America","ALW manufactures beautifully designed, comprehensive architectural lighting solutions. Our vision is to Illuminate the Soul™ with our innovative and highly configurable designs, translating your raw vision to dazzling reality while providing you with a world-class customer experience. Our mission is to create lighting that inspires, delivering the highest quality visual experience for virtually any space. Our state-of-the-art manufacturing facility empowers you with the tools and flexibility to transform your space into something dynamic, with over 90% of our orders shipping in a few weeks or less. Founded in 2005, ALW has expanded its offerings with the acquisitions of Neidhardt in 2017, and v2 Lighting Group in 2019. We bring your vision to light with a diverse selection of linear, decorative, and cylinder products, tailored to your space through a combination of configurable shapes, unparalleled performance, and a client-centric approach.",https://alwusa.com,"{'Facebook': 'https://facebook.com/ALWLighting', 'Twitter': 'https://twitter.com/ALWLighting', 'LinkedIn': 'https://www.linkedin.com/company/alwlighting'}"
"AMAX LIGHTING, INC.", 5624641664,"10268 Santa Fe Springs Rd. Santa Fe Springs, CA 90670
USA","Amax Lighting is a manufacturer and wholesale distributor of residential, commercial, and industrial lighting products. Our vast years of experience give us the ability to design, manufacture, and distribute our products worldwide. Visit our booth to see.",www.amaxlighting.com,"{'Facebook': '', 'Twitter': '', 'LinkedIn': ''}"
AMBIENTECH, 347-334-6368,"63 Flushing Avenue Brooklyn, NY 11205
United States of America","Founded by Shafrir Romano, AmbienTech brings together a team of lighting experts with 100+ years of accumulated experience in the industry. We develop technology solutions that are unique, forward-thinking, and packaged in a simple, friendly product. With a deep understanding of lighting power and control technology, we cross boundaries at light speed, striving to bring tomorrow’s advancements to our customers. All our solutions are backed by dedicated service, as personalized as our solutions.",https://www.ambientechinc.com/,"{'Facebook': '', 'Twitter': '', 'LinkedIn': ''}"
"AMBOR STRUCTURES, INC.", 6514141249,"1001 Corporate Ave. Suite 101 North Port, FL 34289
USA","Ambor is a global leader in steel structure engineering and manufacturing for the telecom, small wind, utility, and lighting markets. Our mission is simple: Customer Service, On-Time Delivery, and Quality Manufacturing.",www.amborstructures.com,"{'Facebook': '', 'Twitter': '', 'LinkedIn': ''}"
AMERICAN ASSOCIATION OF INDEPENDENT LIGHTING AGENTS, 215-642-8991,"PO Box 231 Swarthmore, PA 19081
United States of America","AAILA is a collaborative industry forum that aims to strengthen the capabilities and professionalism of independent lighting agents while also enhancing their connectivity to lighting and controls manufacturers. Founded in 2021, AAILA is a 501c6 member led professional organization",https://lightingagents.org/,"{'Facebook': '', 'Twitter': '', 'LinkedIn': ''}"
"AMERICAN LIGHTING, INC.", 3039231159,"11775 E 45th Ave Denver, CO 80239
USA","BRIGHT IDEAS - INNOVATIVE SOLUTIONS Founded in 1989, American Lighting, Inc. manufactures a wide range of lighting solutions for your residential, commercial holiday lighting needs. We pride ourselves in being a lighting solutions provider by offering our customers a broad line of innovative and high quality lighting products. Continued innovation is a core strategic initiative at American Lighting, and we are committed to developing new products by utilizing the latest lighting technologies and designs. We pledge to deliver superior customer service by employing and training a team of highly experienced lighting professionals.",www.americanlighting.com,"{'Facebook': '', 'Twitter': '', 'LinkedIn': ''}"
AMERLUX, (973) 882-5010,"178 Bauer Drive Oakland, NJ 7436
USA","Amerlux, a wholly-owned subsidiary of Delta Electronics, has been a catalyst for change in the lighting industry since 1984—simply by listening to the marketplace. We strive to create bold lighting solutions that add warmth and brilliance to a connected world.",www.amerlux.com,"{'Facebook': '', 'Twitter': '', 'LinkedIn': ''}"
AMPHENOL, 717-773-6198,"825 Old Trail Rd Etters, PA 17319
United States of America","Amphenol Communications Solutions (ACS), a division of Amphenol Corporation, is a world leader in interconnect solutions for Communications, Mobile, RF, Optics, and Commercial electronics markets. Amphenol Corporation is one of the world’s largest designers and manufacturers of electrical, electronic and fiber optic connectors and interconnect systems, antennas, sensors and sensor-based products and coaxial and high-speed specialty cable. ACS has an expansive global presence in research and development, manufacturing, and sales. We design and manufacture a wide range of innovative connectors as well as cable assemblies for diverse applications including server, storage, data center, mobile, RF, networking, industrial, business equipment and automotive.",www.amphenol-cs.com,"{'Facebook': '', 'Twitter': '', 'LinkedIn': ''}"
ams OSRAM, 866-993-5211,"20400 Stevens Creek Blvd. Cupertino, CA 95014
USA","By combining ams and OSRAM, we create a global leader in optical solutions. Adding intelligence to light and passion to innovation, we enrich people’s lives. With over 110 years combined history, our DNA is defined by imagination, engineering knowhow and the ability to provide global industrial capacity in sensor and light technologies. We create exciting innovations that enable our customers in the consumer, automotive, healthcare and industrial technology sectors maintain their competitive edge. As a combined company, we offer the broadest portfolio in the market. This enables us to develop the complete optical high-tech solutions our customers seek.",www.ams-osram.com,"{'Facebook': '', 'Twitter': '', 'LinkedIn': 'https://www.linkedin.com/company/ams-osram/'}"
ANOLIS, (954) 680-1901,"3410 Davie Rd Suite 401 Davie, FL 33314
USA","The home of architectural lighting excellence Leading global manufacturer of high-end architectural LED lighting, Anolis boasts an extensive range of fixtures to provide solutions for almost any environment.",www.anolislighting.com,"{'Facebook': '', 'Twitter': '', 'LinkedIn': ''}"
ANP LIGHTING, (909) 982-1807,"9044 Del Mar Ave Montclair, CA 91763
USA",The leading manufacturer of performance driven Architectural Site Lighting and RLM metal shades. Made in U.S.A. | A family owned business.,www.anplighting.com,"{'Facebook': 'https://www.facebook.com/anplightinginc/', 'Twitter': '', 'LinkedIn': 'https://www.linkedin.com/company/anp-lighting'}"
AOK INDUSTRIAL COMPANY LIMITED, 6264208777,"Building 1 floor 3, St George Industrial Park Shenzhen, GD 518125
China",,www.aokledlight.com,"{'Facebook': '', 'Twitter': '', 'LinkedIn': ''}"
AOLP, 717-238-2504,"2207 Forest Hills Drive Harrisburg, PA 17112
United States of America","Association of Outdoor Lighting Professionals - https://aolponline.org/ - AOLP was originally established in 2001. We are a trade association whose membership consists of contractors, manufacturers, lighting designers, landscape architects and distributors from all over the U.S. and Canada.",aolponline.org,"{'Facebook': '', 'Twitter': '', 'LinkedIn': ''}"
ARKALUMEN INC., 613-800-0855,"1750 Courtwood Crescent, Suite 308 Ottawa, Ontario K2C 2B5
Canada",Arkalumen designs and manufactures intelligent controllers and LED modules for light fixture manufacturers to enable energy-efficient and feature-rich lighting solutions.,www.arkalumen.com,"{'Facebook': '', 'Twitter': '', 'LinkedIn': ''}"
ARRLUX INC, (650) 868-2193,"4695 Chabot Drive Suite 200 Pleasanton, CA 94566
USA",,www.arrlux.net,"{'Facebook': '', 'Twitter': '', 'LinkedIn': ''}"
ASM SECURITY LTD., 3656510740,"1081 Budapest, Kun str. 4. door 7 Budapest, Budapest
Hungary","ASM Security Ltd. is a Hungarian emergency lighting manufacturer company, started its operation in 1997. Our own developed emergency lighting system called Clever Light. Now we have a wide range of new generation luminaires and full range of services. These are also available through our large number of contracted partners, from design, construction, and installation to maintenance. We are proud of the fact that apart from Hungary, we sell to almost all countries in Europe and the Middle East. Our major partners outside Europe operate in the markets of the United Arab Emirates, Qatar and Saudi Arabia.",www.clever-light.com,"{'Facebook': '', 'Twitter': '', 'LinkedIn': ''}"
ASSURANCE EMERGENCY LIGHTING, 877-774-4775,"357 Cumberland Street Memphis, Tennessee 38112
United States of America","The goal of Assurance Emergency Lighting is to provide the best emergency lighting solution. Our staff of emergency lighting experts are not only knowledgeable but are determined to deliver quality, dependable products. We are located in Memphis, Tennessee and sell through a nationwide network of lighting agents for distribution purchases and directly to Lighting OEMs. Our product lines include LED emergency drivers, fluorescent emergency ballasts, emergency lighting inverters and ALCR- lighting control relay. Additionally, we continue to expand our solutions portfolio with innovative products. We are a division of Assurance Engineering LLC.",https://assurancelighting.com/,"{'Facebook': '', 'Twitter': '', 'LinkedIn': 'https://www.linkedin.com/company/assurance-emergency-lighting/?viewAsMember=true.'}"
"ATG ELECTRONICS, INC.", 9515507423,"10588 Monte Vista Montclair, CA 91763
USA","For almost 20 years, ATG Electronics has been helping clients to reduce their carbon footprint and reduce energy consumption. ATG LED Lighting now offers a full line of Indoor and Outdoor luminaires.",www.atgledlighting.com,"{'Facebook': '', 'Twitter': '', 'LinkedIn': ''}"
AUTANI, (443) 320-2233,"7090 Columbia Gateway Drive Suite 140 Columbia, MD 21046
USA","Autani, LLC (www.autani.com) is a building controls provider with a proven track record of reducing energy consumption while providing the analytics to power next-generation building management applications. At the core of our product offering is EnergyCenter, an open standards appliance that connects Lighting, Metering, HVAC, Refrigeration and Sensors to control, monitor and verify energy consumption through a single, powerful system with either wireless or wired connectivity. Autani’s easy-to-understand dashboard and analytics tools empower facility managers to optimize energy use, identify process inefficiencies, and improve space utilization. Autani’s energy management solutions are designed and manufactured in the USA.",www.autani.com,"{'Facebook': '', 'Twitter': '', 'LinkedIn': ''}"
"AVI-ON LABS, INC", (877) 284-6687,"2700 Rasmussen Road Suite L10 Park City, UT 84098
USA","For over eight years, Avi-on has been providing the most advanced and easy to use IoT platform for wireless lighting controls in the industry. With nearly a million nodes installed, Avi-on’s patented no gateway architecture and industry leading commissioning and scalability management tools make lighting controls easy to install, easy to use, and cost effective...even for multi-thousand device systems. Avi-on offers a complete package of fixture controllers, switches, sensors, mobile apps, cloud services, and long term support, meeting the most demanding design codes and rebate standards.",www.avi-on.com,"{'Facebook': '', 'Twitter': '', 'LinkedIn': ''}"
AVNET, 800-332-8638,"2211 South 47th Street Ste 400 4th Floor Phoenix, AZ 85034
USA","As a leading global technology distributor and solutions provider, Avnet has served customers’ evolving needs for an entire century. We support customers at each stage of a product’s lifecycle, from idea to design and from prototype to production. Our unique position at the center of the technology value chain enables us to accelerate the design and supply stages of product development so customers can realize revenue faster. Decade after decade, Avnet helps its customers and suppliers around the world realize the transformative possibilities of technology. Learn more about Avnet at www.avnet.com.",www.avnet.com,"{'Facebook': 'http://www.facebook.com/AvnetInc', 'Twitter': 'http://avnet/', 'LinkedIn': 'http://www.linkedin.com/company/avnet'}"
"B PLUS L TECHNOLOGIES, INC.", (408) 269-7884,"3570 Charter Park Drive San Jose, CA 95136
USA","B + L Technologies was established in 1992 to provide electronic power solutions for the lighting industry. Our product line include electronic transformer, electronic ballasts, and LED drivers. We are known in the industry for our top product quality and customer service.",www.bplusl.com,"{'Facebook': '', 'Twitter': '', 'LinkedIn': ''}"
B-K LIGHTING, (559) 438-5800,"40429 Brickyard Drive Madera, CA 93636
USA","B-K Lighting & TEKA Illumination revolutionized landscape lighting almost 40 years ago with the first MR16 floodlight. Today, they continue to innovate with their unmatched quality, modern designs, and vast array of fixtures for nearly any application.",www.bklighting.com,"{'Facebook': 'https://www.facebook.com/BKTEKA/', 'Twitter': 'https://twitter.com/bklighting', 'LinkedIn': 'https://www.linkedin.com/company/b-k-lighting'}"
BARTCO LIGHTING, 7142303200,"5761 Research Dr Huntington Beach, CA 92649
USA","Who we are is who we have always been, innovators and partners to the lighting design community. We are a ""Made in the USA"" family owned and operated, multigenerational enterprise, consisting of 70 dedicated employees who span 60 years in age difference. We got our start in the lighting industry in 1982 in Huntington Beach, California, Surf City USA, and as we have reinvented ourselves a few times, we continue to thrive. Our amazing employees all play a vital role in a successful customer experience and we are committed to supporting our lighting design, educational, local and non-profit communities. We pride ourselves on being an eco-friendly practice through recycling and solvent free manufacturing processes.",www.bartcolighting.com,"{'Facebook': '', 'Twitter': '', 'LinkedIn': ''}"
BASELITE CORPORATION, (909) 548-4554,"12260 East End Ave Chino, CA 91710
USA",US Made RLM/Decorative Manufacturer,www.baselite.com,"{'Facebook': 'https://www.facebook.com/Baselite-Lighting-Mfg-1441099402886472/', 'Twitter': '', 'LinkedIn': ''}"
BEELIGHTING INC, (937) 554-0511,"347 Leo Street Dayton, OH 45404
USA",,www.beelite-led.com,"{'Facebook': '', 'Twitter': '', 'LinkedIn': ''}"
"BENDER & WIRTH, INC.", (603) 225-6725,"210 Pleasant St. Unit 1 Concord, NH 03301
USA","We supply the world wide lighting industry with high quality components since 1899. Today´s portfolio covers LED Holders, LED Connectors and Lamp Holders, certified according to VDE and UL. Our quality management system is certified according to ISO 9001:2015.",www.bender-wirth.com,"{'Facebook': '', 'Twitter': '', 'LinkedIn': ''}"
BENJAMIN ELECTRIC COMPANY, 2137473904,"1615 Staunton Avenue Los Angeles, CA 90021
USA",Manufacturer of SmartBreaker Panelboards featuring controllable branch circuit breakers and power monitoring for ASHRAE 90.1 and LEED compliance. For lighting controls and energy management applications. New features for Digital Signage and Horticulture applications. Also manufacturing Track Light Limiter panels that are typically available within two weeks after ordered.,www.benjaminsmartpower.com,"{'Facebook': '', 'Twitter': '', 'LinkedIn': ''}"
BEST LIGHTING PRODUCTS, 740-964-1198,"1213 Etna Parkway Pataskala, OH 43062
USA","Best Lighting is the leader in the design, manufacturing and warehousing of Life Safety Lighting in the USA market. We have several large manufacturing facilities overseas. Warehousing, engineering and offices are located in central Ohio. We service our OEM customers with the largest product selection of Emergency, Exit, Inverter and Battery Pack products in the USA.",www.bestlighting.net,"{'Facebook': '', 'Twitter': '', 'LinkedIn': ''}"
BEYOND LED TECHNOLOGY, 1 866-786-1117,"1939 Parker Court Ste C Stone Mountain, GA 30087
USA","Founded in 2008, Beyond LED Technology designs and manufactures a wide array of LED lighting products. Based in Atlanta Georgia. Product line includes Led retrofit, indoor, outdoor, signage and solar led lighting. We support our distributors with aggressive pricing, exceptional product quality, continuous LED product innovation and strong customer service.",www.beyondledtechnology.com,"{'Facebook': '', 'Twitter': '', 'LinkedIn': ''}"
BILL BROWN SALES, 800-621-1348,"6333 Gross Point Road Niles, IL 60714
USA","Established in 1955, Bill Brown Sales is the leading component sales agency to North American lighting OEMs. Represented lines include A.L.P. (LexaLite, Reflek, and Steel Craft brands), Bridgelux, Genesis Plastics Technologies, Inventronics, IR-TEC America, Lynk Labs, Morelux, RLR Industries, Roytec Industries, Sur-Seal, Tripar, and Wald Wire.",www.billbrownsales.com,"{'Facebook': 'https://www.facebook.com/BBSBillBrownSales/', 'Twitter': 'https://twitter.com/BillBrownSales1', 'LinkedIn': 'https://www.linkedin.com/company/1433682/'}"
BIOS, 7608407489,"2355 Camino Vida Roble Carlsbad, California 92010
USA","Biological Innovations and Optimization Systems, LLC (BIOS), a NASA spin-off, is a recognized innovator in the biological application of LED lighting. Through continuous research and development, BIOS LED lighting solutions continue to be at the forefront of human-centric and a leader in plant growth lighting. By integrating years of biological expertise, with science first developed for the International Space Station, BIOS is driving the circadian lighting market with a biology-first approach and brilliant quality LEDs that can help achieve WELL Building Standards™.",www.bioslighting.com,"{'Facebook': '', 'Twitter': '', 'LinkedIn': ''}"
BLACKJACK LIGHTING, (847) 941-0588,"1547 Barclay Blvd. Buffalo Grove, IL 60089
USA","Blackjack Lighting designs award-winning, on trend luminaires. Blackjack creates stunning contemporary designs by combining smart engineering with the newest LED lighting technology. Blackjack serves the design and specification community with a wide variety of lighting products for both commercial and residential applications. The collection includes pendants, chandeliers, vanity lights, wall sconces, surface mount fixtures, task and table lamps, and an industry-leading decorative lighting system. Blackjack products are used to create truly inspired spaces.",www.blackjacklighting.com,"{'Facebook': '', 'Twitter': '', 'LinkedIn': ''}"
BOCA FLASHER, 561.982.8327,"508 South Military Trail Deerfield, FL 33442
USA","For over 26-Years, Boca Flasher, a leading LED solution provider, has dedicated itself to advancing the safety, quality, reliability, and sustainability of LED lighting technology. Together within our 45,000 square-foot facilities in Southeast Florida, our in-house team of Engineers, Inventors, and Developers are committed to meeting the highest design and manufacturing standards. Our broad selection of lighting and control products provides designers with the high-quality solutions necessary to turn their conceptual visions into experienced reality.",www.bocaflasher.com,"{'Facebook': '', 'Twitter': '', 'LinkedIn': 'https://www.linkedin.com/in/boca-flasher-885572100/'}"
BOCK LIGHTING, (216) 912-7050,"2476 Edison Blvd Twinsburg, OH 44087
USA","We have 100 years of lighting heritage in conception, design & development of commercial lighting fixtures. We strive toward continuous improvement in all aspects of our business, and to providing exceptional value, price, and service to our customers.",www.bocklighting.com,"{'Facebook': '', 'Twitter': '', 'LinkedIn': ''}"
BRANDON INDUSTRIES, 972-542-3000,"1601 Wilmeth Road McKinney, TX 75069
USA","At Brandon Industries we are at the forefront of enhancing the face of America’s neighborhoods, while retaining their heritage. It is our goal to bring visually stunning spaces to life. For over 35 years, our wide variety of Quality Streetscape Solutions™ have been doing just that. This includes street lights, street signs, site furnishings, cluster box units, and much more. We carry a full family of products, and we can sell you everything from components to the complete unit.",www.brandonindustries.com,"{'Facebook': 'https://www.facebook.com/Brandon.Industries/', 'Twitter': '', 'LinkedIn': 'https://www.linkedin.com/company/brandon-industries-inc'}"
BUKAS LIGHTING GROUP, (630) 889-8100,"3609 Swenson Ave St Charles, IL 60174
USA","The Bukas Light Group (BLG) is a North American LED lighting innovator concentrating on specification, architectural and industrial grade lighting solutions. We focus on making the best not the most. BLG consists of outstanding and entrepreneurial lighting brands with a demonstrated history of developing novel luminaires and optical solutions to solve complex lighting challenges. FC Lighting product categories include Cylinders, Floods, Step Lights, Exterior Surface, Bollards, Pendants, Ingrounds, and Wildlife Friendly lighting. Our Solid State Luminaires products include many Linear product for indoor/outdoor, RGBW (linear & floods), Lazer Series with high candela and long-casting optics. Paramount Industries consists of rugged, vandal resistant fixtures for extreme environments like, clean room, food zone, splash zone, natatorium, oil rigs, and more. SPI Lighting produces Architectural Decorative, high performance, straight and configurable linear luminaires for indoor and outdoor applications.",www.bukaslightinggroup.com,"{'Facebook': '', 'Twitter': '', 'LinkedIn': ''}"
